Question_Number,Question,Category,Priority,Target_Tab,Explanation,Formula,Definition,Book_Reference
1,Why did the Marxian profit rate fall by 39% from 1948 to 1989?,Profit Rate,CRITICAL,profit_rate,"The falling rate of profit is driven by the rising organic composition of capital (C*/V*), which increased 89% over this period. As capital becomes more mechanized, each worker requires more machinery and materials, reducing profitability per unit of capital invested. This is Marx's tendency for the rate of profit to fall.","r* = (S*/V*) / (1 + C*/V*)","The rate of profit is the ratio of surplus value to total capital advanced (constant + variable capital)","Chapter 5, pp. 151-194, Table 5.8"
2,What is the difference between r* (Marxian) and r (NIPA) profit rates?,Profit Rate,CRITICAL,profit_rate,"r* uses surplus value (S*) which includes ALL value extracted from productive workers (profits + unproductive wages + interest + rent), while NIPA r uses only reported corporate profits. r* also uses productive capital K* = C*_fixed, not total capital. The Marxian measure reveals the true extraction of surplus from productive labor.","r* = S*/K vs r = Profits/K","Marxian profit rate measures total surplus extraction, NIPA measures only reported profits","Chapter 5, pp. 155-162"
3,Why does capacity utilization matter for profit rate analysis?,Profit Rate,CRITICAL,profit_rate,"Capacity utilization (u) measures how intensively capital is being used. During recessions, u falls (to ~71%), meaning capital sits idle. The adjusted profit rate r*' = r*/u shows what profitability WOULD be if capital were fully utilized. This separates cyclical fluctuations from underlying structural trends.","r*' = r* / u, where 0 < u ≤ 1","Capacity-adjusted profit rate isolates structural profitability from cyclical effects","Chapter 5, pp. 163-168"
4,How can the profit rate fall even when exploitation rises?,Profit Rate,CRITICAL,profit_rate,"This is Marx's central contradiction: r* = (S*/V*) / (1 + C*/V*). Even if exploitation (S*/V*) rises from 1.70 to 2.44 (+43%), if the organic composition (C*/V*) rises faster (from 3.27 to 6.20, +89%), the profit rate still falls. Rising capital intensity overwhelms increased exploitation.","r* = e / (1 + q), where e = S*/V*, q = C*/V*","Profit rate depends on BOTH exploitation rate and capital composition","Chapter 5, pp. 175-182"
5,What are the benchmark profit rate values from Table 5.8?,Profit Rate,CRITICAL,validation,"Table 5.8 shows r*' (capacity-adjusted): 52.4% (1948), 49.6% (1964), 42.8% (1970), 39.2% (1980), 39.0% (1989). These are the validation targets for our calculations. The secular decline from 52% to 39% over 41 years confirms Marx's law of the tendency of the rate of profit to fall.","r*' values from Table 5.8","Official benchmark values from Shaikh-Tonak for validation","Chapter 5, Table 5.8, p. 177"
6,Why do we have r* discrepancies in our validation?,Profit Rate,HIGH,validation,"Our unadjusted r* values (300% in 1948) are much higher than Table 5.8's r*' (52%). Root causes: (1) we use total K not productive K* = C*_fixed, (2) we haven't applied capacity utilization adjustment, (3) our S* calculation may include items counted differently. Resolution requires calculating K* using productive capital share.","Our r* vs Table 5.8 r*' divergence","Systematic difference between calculated and published profit rates","R_STAR_DISCREPANCY_RESOLUTION.md"
7,How does recession shading help interpret profit rate trends?,Profit Rate,MEDIUM,profit_rate,"Recession periods (NBER dates) show when profit rates typically dip due to falling capacity utilization and reduced surplus extraction. The gray shaded areas reveal the cyclical component of profit rate fluctuations, helping distinguish temporary downturns from the secular declining trend.","Recession shading based on NBER dates","Visual aid showing relationship between business cycles and profitability","Chapter 5, pp. 163-165"
8,What is the relationship between profit rate and accumulation?,Profit Rate,HIGH,profit_rate,"The profit rate r* determines the pace of capital accumulation. A falling profit rate creates pressure to extract more surplus (raise e) or reduce wages, leading to class conflict. From 1948-1989, despite a 43% rise in exploitation, accumulation was constrained by the falling profit rate, contributing to slower GDP growth.","Accumulation ∝ r* × K","Higher profit rates enable faster capital accumulation and growth","Chapter 5, pp. 185-190"
9,What is surplus value (S*) and why is it so large?,Surplus Value,CRITICAL,exploitation,"S* is ALL value created by productive workers beyond their own wages (V*). It includes: corporate profits, unproductive workers' wages (~$1T in 1948), interest, rent, and taxes. S* is large because it encompasses the entire surplus produced in the economy, not just profits. Formula: S* = GDP - V*.","S* = Y - V* = GDP - (wages of productive workers)","Total surplus value extracted from productive labor","Chapter 5, pp. 65-88"
10,How is the exploitation rate (S*/V*) calculated?,Surplus Value,CRITICAL,exploitation,"Exploitation rate e = S*/V* measures unpaid/paid labor ratio. If e = 2.44, workers create $2.44 in surplus for every $1 they receive in wages. It rose 43% from 1948-1989, meaning workers kept a declining share of the value they created. This is the foundation of Marxian crisis theory.","e = S*/V* = (unpaid labor)/(paid labor)","Ratio of surplus value to variable capital (wages of productive workers)","Chapter 5, pp. 89-115"
11,Why did exploitation rise from 1.70 to 2.44 (+43%)?,Surplus Value,HIGH,exploitation,"Rising exploitation reflects: (1) productivity gains not passed to workers as wage increases, (2) increasing share of unproductive labor paid from surplus, (3) declining worker bargaining power post-1970s. Workers produced more value but received a shrinking proportion, enabling higher profit margins and unproductive employment.","e_1989 / e_1948 = 2.44 / 1.70 = 1.43","Percentage increase in exploitation rate over 41 years","Chapter 5, pp. 135-148"
12,What is the surplus ratio (S*/Y) and how does it differ from exploitation?,Surplus Value,MEDIUM,exploitation,"Surplus ratio S*/Y shows what share of total output Y is surplus (vs e = S*/V* which compares surplus to productive wages). S*/Y rose from 63% to 71% (1948-1989), meaning surplus grew from 63¢ to 71¢ per dollar of output. It's a profitability measure relative to output, not relative to labor cost.","S*/Y = surplus share of output vs e = S*/V* = exploitation rate","Surplus ratio measures surplus as share of total output","Chapter 5, pp. 92-98"
13,How do unproductive wages factor into surplus value?,Surplus Value,HIGH,exploitation,"Unproductive workers (Lu) don't create value but are paid from surplus (S*). Their wages are PART of S*, not subtracted from it. This is why S* is so large - it includes both profits AND unproductive wages (~47-51% of total employment). Formula: S* = Profits + Wu + Interest + Rent.","S* = Profits + W_unproductive + Interest + Rent","Unproductive wages are a use of surplus, not a deduction from it","Chapter 5, pp. 75-82"
14,What is the difference between S*/V* and traditional profit margins?,Surplus Value,MEDIUM,overview,"Traditional profit margins (Profits/Sales) only measure net profit. S*/V* measures TOTAL surplus (including unproductive wages, interest, rent) relative to productive labor costs. S*/V* reveals the full extent of value extraction, not just the portion that shows up as accounting profits.","e = S*/V* vs profit margin = Profits/Sales","Marxian exploitation rate captures total surplus, not just accounting profits","Chapter 5, pp. 155-159"
15,How can I validate the exploitation rate calculations?,Surplus Value,HIGH,validation,"Table 5.8 benchmarks: e = 1.32 (1948), 1.82 (1964), 2.01 (1970), 2.32 (1980), 2.44 (1989). Our calculations should match within 5%. The secular upward trend is the key validation - exploitation must rise monotonically over this period, reflecting declining labor share of output.","Compare calculated e to Table 5.8 targets","Exploitation rate validation targets from official publication","Chapter 5, Table 5.8, p. 177"
16,What does government absorption (G/S*) tell us about the state?,Government,MEDIUM,government,"G/S* shows what share of surplus is absorbed by government spending (federal + state/local). It rose from 24% (1948) to 34% (1989), indicating an expanding state role in managing surplus. High G/S* during recessions shows government counter-cyclical spending financed by surplus extraction.","G/S* = government spending / surplus value","Ratio of government expenditures to total surplus value","Chapter 5, pp. 195-212"
17,What is constant capital (C*) and the organic composition (C*/V*)?,Capital Composition,CRITICAL,exploitation,"C* is value transferred from means of production (machinery, materials) to output. Organic composition C*/V* measures capital intensity - how much constant capital per dollar of variable capital (wages). It rose from 3.27 to 6.20 (+89%), showing rising mechanization. This drives the falling profit rate.","q = C*/V* = constant capital / variable capital","Ratio of constant to variable capital, measures capital intensity","Chapter 5, pp. 118-134"
